Model ID,TXD Name,Texture Name,URL
10101,2notherbuildsfe,Bow_Abpave_Gen,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.Bow_Abpave_Gen.png
10101,2notherbuildsfe,Bow_church_grass_alt,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.Bow_church_grass_alt.png
10101,2notherbuildsfe,ferry_build14,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.ferry_build14.png
10101,2notherbuildsfe,flatdoor01_law,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.flatdoor01_law.png
10101,2notherbuildsfe,gz_vicdoor1,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.gz_vicdoor1.png
10101,2notherbuildsfe,gz_vicdoor2,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.gz_vicdoor2.png
10101,2notherbuildsfe,sl_vicbrikwall01,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicbrikwall01.png
10101,2notherbuildsfe,sl_vicrfedge,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicrfedge.png
10101,2notherbuildsfe,sl_vicwall01,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicwall01.png
10101,2notherbuildsfe,sl_vicwall02,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicwall02.png
10101,2notherbuildsfe,sl_vicwin01,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicwin01.png
10101,2notherbuildsfe,sl_vicwin02,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.sl_vicwin02.png
10101,2notherbuildsfe,ws_rooftarmac1,https://gtxd.net/images/gtasa_textures/2notherbuildsfe.ws_rooftarmac1.png
1561,7_11_door,CJ_7_11_win,https://gtxd.net/images/gtasa_textures/7_11_door.CJ_7_11_win.png
1561,7_11_door,CJ_CHROME2,https://gtxd.net/images/gtasa_textures/7_11_door.CJ_CHROME2.png
1561,7_11_door,cj_sheetmetal2,https://gtxd.net/images/gtasa_textures/7_11_door.cj_sheetmetal2.png
19329,7_11_posters,CJ_7_11_POST,https://gtxd.net/images/gtasa_textures/7_11_posters.CJ_7_11_POST.png
19329,7_11_posters,CJ_7_11_POST2,https://gtxd.net/images/gtasa_textures/7_11_posters.CJ_7_11_POST2.png
19329,7_11_posters,cokopops_1,https://gtxd.net/images/gtasa_textures/7_11_posters.cokopops_1.png
19329,7_11_posters,munkyJuice_2,https://gtxd.net/images/gtasa_textures/7_11_posters.munkyJuice_2.png
13661,8bars,AH_gbarrier,https://gtxd.net/images/gtasa_textures/8bars.AH_gbarrier.png
13661,8bars,Upt_Fence_Mesh,https://gtxd.net/images/gtasa_textures/8bars.Upt_Fence_Mesh.png
13661,8bars,barrier,https://gtxd.net/images/gtasa_textures/8bars.barrier.png
13661,8bars,bridgeconc,https://gtxd.net/images/gtasa_textures/8bars.bridgeconc.png
13628,8stad,stadroof,https://gtxd.net/images/gtasa_textures/8stad.stadroof.png
9697,711_sfw,beachwall_law,https://gtxd.net/images/gtasa_textures/711_sfw.beachwall_law.png
9697,711_sfw,brick,https://gtxd.net/images/gtasa_textures/711_sfw.brick.png
9697,711_sfw,dt_carpark_line_texture,https://gtxd.net/images/gtasa_textures/711_sfw.dt_carpark_line_texture.png
9697,711_sfw,mono1_sfe,https://gtxd.net/images/gtasa_textures/711_sfw.mono1_sfe.png
9697,711_sfw,mono2_sfe,https://gtxd.net/images/gtasa_textures/711_sfw.mono2_sfe.png
9697,711_sfw,pcut_bot_law,https://gtxd.net/images/gtasa_textures/711_sfw.pcut_bot_law.png
